,wage,education,experience,age,ethnicity,region,gender,occupation,sector,union,married
1,5.1,8,21,35,hispanic,other,female,worker,manufacturing,no,yes
2,4.95,9,42,57,cauc,other,female,worker,manufacturing,no,yes
3,6.67,12,1,19,cauc,other,male,worker,manufacturing,no,no
4,4,12,4,22,cauc,other,male,worker,other,no,no
5,7.5,12,17,35,cauc,other,male,worker,other,no,yes
6,13.07,13,9,28,cauc,other,male,worker,other,yes,no
7,4.45,10,27,43,cauc,south,male,worker,other,no,no
8,19.47,12,9,27,cauc,other,male,worker,other,no,no
9,13.28,16,11,33,cauc,other,male,worker,manufacturing,no,yes
10,8.75,12,9,27,cauc,other,male,worker,other,no,no
11,11.35,12,17,35,cauc,other,male,worker,other,yes,yes
12,11.5,12,19,37,cauc,other,male,worker,manufacturing,yes,no
13,6.5,8,27,41,cauc,south,male,worker,other,no,yes
14,6.25,9,30,45,cauc,south,male,worker,other,yes,no
15,19.98,9,29,44,cauc,south,male,worker,other,no,yes
16,7.3,12,37,55,cauc,other,male,worker,construction,no,yes
17,8,7,44,57,cauc,south,male,worker,other,no,yes
18,22.2,12,26,44,cauc,other,male,worker,manufacturing,yes,yes
19,3.65,11,16,33,cauc,other,male,worker,other,no,no
20,20.55,12,33,51,cauc,other,male,worker,other,no,yes
21,5.71,12,16,34,cauc,other,female,worker,manufacturing,yes,yes
22,7,7,42,55,other,other,male,worker,manufacturing,yes,yes
23,3.75,12,9,27,cauc,other,male,worker,other,no,no
24,4.5,11,14,31,other,south,male,worker,other,no,yes
25,9.56,12,23,41,cauc,other,male,worker,other,no,yes
26,5.75,6,45,57,cauc,south,male,worker,manufacturing,no,yes
27,9.36,12,8,26,cauc,other,male,worker,manufacturing,no,yes
28,6.5,10,30,46,cauc,other,male,worker,other,no,yes
29,3.35,12,8,26,cauc,other,female,worker,manufacturing,no,yes
30,4.75,12,8,26,cauc,other,male,worker,other,no,yes
31,8.9,14,13,33,cauc,other,male,worker,other,no,no
32,4,12,46,64,cauc,south,female,worker,other,no,no
33,4.7,8,19,33,cauc,other,male,worker,other,no,yes
34,5,17,1,24,cauc,south,female,worker,other,no,no
35,9.25,12,19,37,cauc,other,male,worker,manufacturing,no,no
36,10.67,12,36,54,other,other,male,worker,other,no,no
37,7.61,12,20,38,other,south,male,worker,construction,no,yes
38,10,12,35,53,other,other,male,worker,construction,yes,yes
39,7.5,12,3,21,cauc,other,male,worker,other,no,no
40,12.2,14,10,30,cauc,south,male,worker,manufacturing,no,yes
41,3.35,12,0,18,cauc,other,male,worker,other,no,no
42,11,14,14,34,cauc,south,male,worker,manufacturing,yes,yes
43,12,12,14,32,cauc,other,male,worker,manufacturing,no,yes
44,4.85,9,16,31,cauc,other,female,worker,manufacturing,no,yes
45,4.3,13,8,27,cauc,south,male,worker,construction,no,no
46,6,7,15,28,cauc,south,female,worker,manufacturing,no,yes
47,15,16,12,34,cauc,other,male,worker,manufacturing,no,yes
48,4.85,10,13,29,cauc,south,male,worker,other,no,no
49,9,8,33,47,cauc,other,male,worker,other,yes,yes
50,6.36,12,9,27,cauc,other,male,worker,manufacturing,no,yes
51,9.15,12,7,25,cauc,other,male,worker,other,no,yes
52,11,16,13,35,cauc,other,male,worker,manufacturing,yes,yes
53,4.5,12,7,25,cauc,other,female,worker,manufacturing,no,yes
54,4.8,12,16,34,cauc,other,female,worker,manufacturing,no,yes
55,4,13,0,19,cauc,other,male,worker,other,no,no
56,5.5,12,11,29,cauc,other,female,worker,manufacturing,no,no
57,8.4,13,17,36,cauc,other,male,worker,manufacturing,no,no
58,6.75,10,13,29,cauc,other,male,worker,manufacturing,no,yes
59,10,12,22,40,other,other,male,worker,manufacturing,yes,no
60,5,12,28,46,cauc,other,female,worker,manufacturing,no,yes
61,6.5,11,17,34,cauc,other,male,worker,other,no,no
62,10.75,12,24,42,cauc,other,male,worker,construction,yes,yes
63,7,3,55,64,hispanic,south,male,worker,manufacturing,no,yes
64,11.43,12,3,21,cauc,south,male,worker,construction,no,no
65,4,12,6,24,other,other,male,worker,manufacturing,yes,no
66,9,10,27,43,cauc,other,male,worker,construction,no,yes
67,13,12,19,37,other,south,male,worker,manufacturing,yes,yes
68,12.22,12,19,37,cauc,other,male,worker,construction,yes,yes
69,6.28,12,38,56,cauc,other,female,worker,manufacturing,no,yes
70,6.75,10,41,57,other,south,male,worker,manufacturing,yes,yes
71,3.35,11,3,20,other,south,male,worker,manufacturing,no,no
72,16,14,20,40,cauc,other,male,worker,other,yes,yes
73,5.25,10,15,31,cauc,other,male,worker,other,no,yes
74,3.5,8,8,22,hispanic,south,male,worker,manufacturing,no,yes
75,4.22,8,39,53,cauc,south,female,worker,manufacturing,no,yes
76,3,6,43,55,hispanic,other,female,worker,manufacturing,yes,yes
77,4,11,25,42,cauc,south,female,worker,manufacturing,yes,yes
78,10,12,11,29,cauc,other,male,worker,other,yes,yes
79,5,12,12,30,other,other,male,worker,other,no,yes
80,16,12,35,53,cauc,south,male,worker,manufacturing,yes,yes
81,13.98,14,14,34,cauc,other,male,worker,other,no,no
82,13.26,12,16,34,cauc,other,male,worker,other,yes,yes
83,6.1,10,44,60,cauc,other,female,worker,manufacturing,yes,no
84,3.75,16,13,35,cauc,south,female,worker,other,no,no
85,9,13,8,27,other,other,male,worker,manufacturing,yes,no
86,9.45,12,13,31,cauc,other,male,worker,manufacturing,no,no
87,5.5,11,18,35,cauc,other,male,worker,other,yes,yes
88,8.93,12,18,36,cauc,other,female,worker,other,no,yes
89,6.25,12,6,24,cauc,south,female,worker,other,no,no
90,9.75,11,37,54,cauc,south,male,worker,manufacturing,yes,yes
91,6.73,12,2,20,cauc,south,male,worker,manufacturing,no,yes
92,7.78,12,23,41,cauc,other,male,worker,manufacturing,no,yes
93,2.85,12,1,19,cauc,other,male,worker,other,no,no
94,3.35,12,10,28,other,south,female,worker,manufacturing,no,yes
95,19.98,12,23,41,cauc,other,male,worker,manufacturing,no,yes
96,8.5,12,8,26,other,other,male,worker,other,yes,yes
97,9.75,15,9,30,cauc,other,female,worker,manufacturing,no,yes
98,15,12,33,51,cauc,other,male,worker,construction,yes,yes
99,8,12,19,37,cauc,other,female,worker,manufacturing,no,yes
100,11.25,13,14,33,cauc,other,male,worker,other,no,yes
101,14,11,13,30,cauc,other,male,worker,other,yes,yes
102,10,10,12,28,cauc,other,male,worker,construction,no,yes
103,6.5,12,8,26,cauc,other,male,worker,other,no,no
104,9.83,12,23,41,cauc,other,male,worker,manufacturing,no,yes
105,18.5,14,13,33,cauc,other,female,worker,manufacturing,no,no
106,12.5,12,9,27,cauc,south,male,worker,other,no,yes
107,26,14,21,41,cauc,other,male,worker,other,yes,yes
108,14,5,44,55,cauc,south,male,worker,construction,no,yes
109,10.5,12,4,22,cauc,other,male,worker,other,yes,yes
110,11,8,42,56,cauc,other,male,worker,manufacturing,no,yes
111,12.47,13,10,29,cauc,other,male,worker,other,yes,yes
112,12.5,12,11,29,cauc,other,male,worker,construction,no,no
113,15,12,40,58,cauc,other,male,worker,construction,yes,yes
114,6,12,8,26,cauc,other,male,worker,construction,no,no
115,9.5,11,29,46,cauc,south,male,worker,construction,no,yes
116,5,16,3,25,cauc,other,male,worker,other,yes,no
117,3.75,11,11,28,cauc,other,male,worker,construction,no,no
118,12.57,12,12,30,cauc,other,male,worker,other,yes,yes
119,6.88,8,22,36,hispanic,other,female,worker,other,no,yes
120,5.5,12,12,30,cauc,other,male,worker,other,no,yes
121,7,12,7,25,cauc,other,male,worker,other,yes,yes
122,4.5,12,15,33,cauc,other,female,worker,manufacturing,no,no
123,6.5,12,28,46,cauc,other,male,worker,other,no,yes
124,12,12,20,38,cauc,south,male,worker,manufacturing,yes,yes
125,5,12,6,24,cauc,south,male,worker,construction,no,no
126,6.5,12,5,23,cauc,south,male,worker,manufacturing,no,no
127,6.8,9,30,45,cauc,south,female,worker,manufacturing,no,yes
128,8.75,13,18,37,cauc,other,male,worker,other,no,yes
129,3.75,12,6,24,other,south,female,worker,manufacturing,no,yes
130,4.5,12,16,34,hispanic,south,male,worker,other,no,no
131,6,12,1,19,hispanic,south,male,worker,other,yes,no
132,5.5,12,3,21,cauc,other,male,worker,manufacturing,no,no
133,13,12,8,26,cauc,other,male,worker,other,no,yes
